product_id,name,category,price,description,rating,combined_text
2820,Điện Thoại Xiaomi Redmi 10 (4GB/128GB)-Chính hãng,Khác,0,,0,Điện Thoại Xiaomi Redmi 10 (4GB/128GB)-Chính hãng Khác 
2821,Điện thoại Nokia C30 (2GB/32GB) Pin 6000mAh - Hàng  Chính hãng,Khác,0,,0,Điện thoại Nokia C30 (2GB/32GB) Pin 6000mAh - Hàng  Chính hãng Khác 
2822,"Nắp lưng OPPO A7 chính hãng , bảo hành đổi trả",Khác,0,,0,"Nắp lưng OPPO A7 chính hãng , bảo hành đổi trả Khác "
2823,Điện Thoại Oppo Neo5 A31 2sim Ram 1G/8G Chiến TikTok FB Zalo ngon..,Khác,0,,0,Điện Thoại Oppo Neo5 A31 2sim Ram 1G/8G Chiến TikTok FB Zalo ngon.. Khác 
2824,"[RẺ VÔ ĐỊCH] Điện Thoại Pixel 4XL, Zin Đẹp, Vua Camera, Chip Snapdragon 855",Khác,0,,0,"[RẺ VÔ ĐỊCH] Điện Thoại Pixel 4XL, Zin Đẹp, Vua Camera, Chip Snapdragon 855 Khác "
2825,Điện thoại Kitty 2 sim siêu xinh,Khác,0,,0,Điện thoại Kitty 2 sim siêu xinh Khác 
2826,Tai nghe điện thoại J5,Khác,0,,0,Tai nghe điện thoại J5 Khác 
2827,"Kính camera Xiaomi Redmi note 8 pro chính hãng , bảo hành đổi trả",Khác,0,,0,"Kính camera Xiaomi Redmi note 8 pro chính hãng , bảo hành đổi trả Khác "
2828,phụ kiện cho blackberry 9000,Khác,0,,0,phụ kiện cho blackberry 9000 Khác 
2829,Đai bảo vệ camera iphone 12 / iphone 12 pro / iphone 12 pro max,Khác,0,,0,Đai bảo vệ camera iphone 12 / iphone 12 pro / iphone 12 pro max Khác 
2830,LOA TRONG NOKIA 3310 2017,Khác,0,,0,LOA TRONG NOKIA 3310 2017 Khác 
2831,"Điện thoại Nokia mini 3310 siêu nhỏ, siêu tiện dụng,thay đổi giọng nói, nghe nhạc,thay thế loa blutooth",Khác,0,,0,"Điện thoại Nokia mini 3310 siêu nhỏ, siêu tiện dụng,thay đổi giọng nói, nghe nhạc,thay thế loa blutooth Khác "
2832,Combo Điện Thoại Nokia 1280 1 Sim Zin Kèm Pin Sạc,Khác,0,,0,Combo Điện Thoại Nokia 1280 1 Sim Zin Kèm Pin Sạc Khác 
2833,"Màn samsung A6 plus - A605 hiển thị sắc nét, cảm ứng mượt",Khác,0,,0,"Màn samsung A6 plus - A605 hiển thị sắc nét, cảm ứng mượt Khác "
2834,"ko hộp- 1 Caphe idol gc loại mạnh, mẫu cũ.1h 10goi.",Khác,0,,0,"ko hộp- 1 Caphe idol gc loại mạnh, mẫu cũ.1h 10goi. Khác "
2835,[Freeship toàn quốc từ 50k] Điện Thoại Mini Nokia 2 Sim Siêu nhỏ,Khác,0,,0,[Freeship toàn quốc từ 50k] Điện Thoại Mini Nokia 2 Sim Siêu nhỏ Khác 
