antecedents_str,consequents_str,support,confidence,lift
"cửa_hàng, đặt",giao,0.010040485829959514,0.6813186813186813,4.920634920634921
tạm,sản_phẩm,0.012307692307692308,0.5891472868217055,4.730799084686646
"cửa_hàng, kém",sản_phẩm,0.011012145748987854,0.5862068965517241,4.707188018474508
sai,giao,0.01263157894736842,0.6446280991735537,4.65564738292011
"cửa_hàng, màu",giao,0.010526315789473684,0.6435643564356436,4.6479647964796476
đặt,giao,0.026720647773279354,0.6043956043956045,4.365079365079366
"hàng, sản_phẩm",giao,0.011983805668016195,0.592,4.275555555555555
"giao, sản_phẩm","hàng, hóa",0.011659919028340082,0.6371681415929205,4.272001383644174
"hàng, hóa, sản_phẩm",giao,0.011659919028340082,0.5853658536585366,4.227642276422764
"hóa, sản_phẩm",giao,0.011821862348178138,0.5703125,4.118923611111111
"giao, sản_phẩm",hàng,0.011983805668016195,0.6548672566371682,4.1137388705335844
"giao, sản_phẩm",hóa,0.011821862348178138,0.6460176991150444,4.0914454277286145
"tiền, đáng",sản_phẩm,0.01117408906882591,0.5,4.0149544863459035
nhận,hóa,0.01651821862348178,0.5895953757225434,3.734104046242775
"cửa_hàng, hàng",giao,0.0205668016194332,0.516260162601626,3.728545618789521
nhận,"hàng, hóa",0.015546558704453442,0.5549132947976879,3.720509875543673
"cửa_hàng, hàng, hóa",giao,0.01862348178137652,0.5021834061135371,3.626880155264434
nhận,hàng,0.01603238866396761,0.5722543352601156,3.594781811018529
giao,hàng,0.07255060728744939,0.5239766081871344,3.2915112467503107
"cửa_hàng, giao",hàng,0.0205668016194332,0.5183673469387755,3.256275043079287
